results/title,results/features/0/genre_ids,results/features/0/production_companies/0,results/features/0/release_date,results/features/0/vote_average,results/features/0/vote_count,results/features/0/budget,results/features/0/star_popularity,labels
Love and Monsters,35,2575,16/10/2020,7.4,2692,30000000,6.752,FALSE
The Monkey King,28,9175,09/01/2014,5.7,154,82000000,11.361,FALSE
Dragonball Evolution,28,81135,12/03/2009,2.9,1567,30000000,7.296,TRUE
Riddick,878,1225,02/09/2013,6.3,3301,38000000,21.079,TRUE
Paranormal Activity,27,3172,14/09/2007,6,3961,215000,1.89,TRUE
Role Models,35,28787,07/11/2008,6.5,1398,28000000,4.839,TRUE
Europa Report,878,5703,27/06/2013,6.3,1035,125687,1.289,FALSE
Couples Retreat,35,4403,19/09/2009,5.5,1537,70000000,4.453,TRUE
Underworld: Blood Wars,14,126,24/11/2016,5.8,3041,35000000,15.552,TRUE
The Aristocats,16,2,24/12/1970,7.3,4030,4000000,1.387,TRUE
Escape Plan,28,46961,09/10/2013,6.7,4093,50000000,18.24,TRUE
Greenland,28,47729,29/07/2020,7.2,3076,34000000,13.78,TRUE
Friends with Benefits,10749,97,21/07/2011,6.7,6540,35000000,6.211,TRUE
The Adventures of Sharkboy and Lavagirl,12,10807,10/06/2005,5.1,1133,50000000,9.058,TRUE
Source Code,53,1557,30/03/2011,7.3,6571,32000000,12.898,TRUE
The Last Witch Hunter,14,24097,21/10/2015,5.9,2988,90000000,21.079,TRUE
Alice in Wonderland,10751,2,03/03/2010,6.6,11698,200000000,3.313,TRUE
Little Women,18,5,25/12/2019,7.9,4284,40000000,4.414,TRUE
Dumb and Dumber To,35,12,12/11/2014,5.5,2555,40000000,11.514,TRUE
Never Back Down,18,491,04/03/2008,6.7,1836,20000000,9.218,TRUE
Saw,27,2061,01/10/2004,7.4,7023,1200000,4.949,TRUE
Dune,28,10308,14/12/1984,6.3,2004,40000000,3.656,FALSE
42,18,174,12/04/2013,7.1,1405,40000000,9.138,TRUE
A Haunted House 2,35,7625,17/04/2014,6.1,1016,4000000,4.103,TRUE
Cry Macho,37,171,16/09/2021,6.4,301,33000000,15.957,FALSE
The Iron Giant,10751,174,06/08/1999,7.9,4279,70000000,3.883,FALSE
A Walk Among the Tombstones,80,39043,18/09/2014,6.3,2278,28000000,13.321,TRUE
Scary Movie 3,35,10958,24/10/2003,6,3112,48000000,11.66,TRUE
Cinderella II: Dreams Come True,10751,40148,23/02/2002,6.1,1134,5000000,2.141,FALSE
Men in Black,28,5,02/07/1997,7.2,11161,90000000,7.487,TRUE
The Matrix Revolutions,12,79,05/11/2003,6.7,7438,150000000,30.496,TRUE
American Pie 2,35,33,10/08/2001,6.2,3925,30000000,2.976,TRUE
Elysium,878,28788,07/08/2013,6.5,7178,115000000,18.609,TRUE
The Hills Have Eyes,27,43,10/03/2006,6.4,2203,15000000,1.796,TRUE
Mean Girls,35,1756,30/04/2004,7.2,6893,17000000,4.813,TRUE
Ella Enchanted,10751,7692,09/04/2004,6.4,1485,31000000,14.354,FALSE
The Flintstones,14,1353,26/05/1994,5.3,1896,46000000,9.99,TRUE
Superbad,35,5,20/03/2007,7.2,5414,20000000,8.342,TRUE
Creed,18,21,25/11/2015,7.4,5688,37000000,10.458,TRUE
Batman Begins,28,174,10/06/2005,7.7,16864,150000000,14.445,TRUE
The Blind Side,18,174,20/11/2009,7.6,4768,29000000,9.315,TRUE
Easy A,35,3287,16/09/2010,6.8,5708,8000000,15.796,TRUE
Goosebumps 2: Haunted Halloween,12,5,11/10/2018,6.1,1104,35000000,1.88,TRUE
The SpongeBob Movie: Sponge Out of Water,10751,24955,28/01/2015,6.1,1872,74000000,3.99,TRUE
I See You,53,5056,11/09/2019,7,839,3000000,10.369,FALSE
Shark Tale,16,521,20/09/2004,6,5223,75000000,18.744,TRUE
Escape Room,27,333,03/01/2019,6.5,3449,9000000,5.131,TRUE
Men of Honor,18,711,13/09/2000,7.4,1648,82343495,11.681,FALSE
Abominable,10751,521,19/09/2019,7.6,1531,75000000,5.044,TRUE
Now You See Me 2,53,491,02/06/2016,6.8,9093,90000000,4.861,TRUE
The Ten Commandments: The Movie,18,5591,28/01/2016,7.3,223,39307171,1.62,FALSE
Stuart Little,10751,58331,17/12/1999,6,3428,133000000,4.115,TRUE
After Earth,878,5,30/05/2013,5.2,5601,130000000,3.903,TRUE
My Best Friend's Girl,10749,2953,19/09/2008,5.6,559,20000000,2.655,TRUE
Final Destination 3,27,12,09/02/2006,6.1,2879,25000000,15.023,TRUE
30 Minutes or Less,28,5,11/08/2011,5.7,1299,28000000,4.861,TRUE
The Cat in the Hat,10751,33,21/11/2003,5.3,1248,109000000,6.968,TRUE
RED 2,28,435,18/07/2013,6.5,3269,84000000,19.242,TRUE
Final Destination,27,48772,17/03/2000,6.5,4132,23000000,8.269,TRUE
Robin Hood,16,2,08/11/1973,7.3,3499,5000000,1.22,TRUE
Snowpiercer,28,7036,01/08/2013,6.9,7662,39200000,9.508,TRUE
The Watch,35,2575,26/07/2012,5.5,1859,68000000,8.883,TRUE
The BFG,12,2,01/06/2016,6.2,2702,140000000,1.411,TRUE
Kick-Ass,28,5374,22/03/2010,7.1,9736,28000000,6.554,TRUE
Hustlers,18,13184,12/09/2019,6.5,2381,20000000,3.454,TRUE
Halloween,27,33,18/10/2018,6.5,3613,10000000,9.817,TRUE
Goosebumps,12,333,05/08/2015,6.3,3092,58000000,9.183,TRUE
The Texas Chainsaw Massacre,27,10146,21/05/2003,6.2,1916,9500000,10.247,TRUE
Spy Kids 2: The Island of Lost Dreams,28,7405,07/08/2002,5.6,1682,38000000,3.232,TRUE
Ong Bak: Muay Thai Warrior,28,4206,21/01/2003,7.1,1267,1100000,5.583,TRUE
American Pie Presents: The Naked Mile,35,2365,07/12/2006,5.5,1598,15000000,1.456,TRUE
Valerian and the City of a Thousand Planets,12,98007,20/07/2017,6.6,6098,177200000,8.249,TRUE
Bad Boys II,12,10288,18/07/2003,6.6,4239,130000000,18.744,TRUE
Hidden Figures,18,711,10/12/2016,8.1,7334,25000000,4.703,TRUE
No Good Deed,80,49968,10/09/2014,6,509,13200000,16.194,TRUE
Pulp Fiction,53,14,10/09/1994,8.5,22142,8000000,9.8,TRUE
Shanghai Fortress,878,80849,09/08/2019,5.5,79,30000000,1.96,FALSE
A Walk to Remember,18,5367,25/01/2002,7.7,3380,11800000,3.299,TRUE
American Pie Presents: Beta House,35,134,10/12/2007,5.6,1486,10000000,1.456,TRUE
Sinister,27,7625,29/03/2012,6.8,4173,3000000,10.169,TRUE
The NeverEnding Story,18,47,05/04/1984,7.2,3103,27000000,2.458,FALSE
21 Jump Street,28,5,14/03/2012,6.9,8549,42000000,8.342,TRUE
Willy Wonka & the Chocolate Factory,10751,3434,29/06/1971,7.5,2541,3000000,1.905,TRUE
The Mask,10749,552,29/07/1994,6.9,7988,23000000,11.514,TRUE
Never Back Down 2: The Beatdown,18,11341,13/09/2011,6.4,495,3000000,18.113,FALSE
Life As We Know It,35,1894,02/10/2010,6.9,2622,38000000,6.411,TRUE
300: Rise of an Empire,28,923,05/03/2014,6.1,5291,110000000,3.565,TRUE
The Virginity Hit,35,4740,24/09/2010,4.5,55,2000000,5.283,FALSE
Lawless,80,308,29/08/2012,7,2433,26000000,7.624,TRUE
Independence Day: Resurgence,28,25,22/06/2016,5.2,5067,165000000,6.138,TRUE
Paranormal Activity 3,27,4,19/10/2011,5.9,1706,5000000,1.89,TRUE
Dora and the Lost City of Gold,12,2348,08/08/2019,6.8,1316,49000000,14.77,TRUE
Mamma Mia!,35,34441,02/07/2008,7,5252,52000000,14.127,TRUE
Sin City: A Dame to Kill For,80,41658,20/08/2014,6.4,3064,65000000,8.763,FALSE
I Spit on Your Grave,53,5860,17/06/2010,6.5,1652,2000000,5.913,FALSE
From Paris with Love,28,11261,04/02/2010,6.2,1546,52000000,9.8,TRUE
Predator,878,1885,12/06/1987,7.5,5825,15000000,17.394,TRUE
Contraband,53,33,12/01/2012,6.3,1653,25000000,21.262,TRUE
Escape Plan 2: Hades,28,90968,05/06/2018,5.1,1075,20000000,18.24,FALSE
Rambo,28,925,24/01/2008,6.6,2853,50000000,18.24,TRUE
6 Underground,28,82819,10/12/2019,6.3,3451,150000000,56.571,FALSE
Hellboy,14,48738,10/04/2019,5.5,2593,50000000,6.166,FALSE
Troy,12,174,03/05/2004,7.1,8067,175000000,21.308,TRUE
Mission: Impossible - Rogue Nation,28,4,23/07/2015,7.2,7010,150000000,17.341,TRUE
Alvin and the Chipmunks: The Squeakquel,35,711,21/12/2009,5.7,2260,75000000,6.567,TRUE
Men in Black II,28,5,03/07/2002,6.3,8048,140000000,18.744,TRUE
Sweat,18,51112,12/03/2021,6.8,22,1619835,0.6,FALSE
Alvin and the Chipmunks,35,711,13/12/2007,5.8,3525,60000000,6.029,TRUE
Project Almanac,878,7377,28/01/2015,6.6,2031,12000000,1.026,TRUE
Where the Wild Things Are,10751,923,16/10/2009,6.5,1438,100000000,0.919,TRUE
My Neighbor Totoro,14,10342,16/04/1988,8.1,5769,3700000,2.828,TRUE
Bloodshot,28,10246,05/03/2020,6.8,4087,42000000,21.079,FALSE
Angel Has Fallen,28,48738,21/08/2019,6.5,2552,40000000,13.78,TRUE
The Indian in the Cupboard,12,4,14/07/1995,6.4,461,45000000,0.706,FALSE
Night at the Museum: Battle of the Smithsonian,12,2575,20/05/2009,6.1,5615,150000000,8.883,TRUE
Jack Ryan: Shadow Recruit,28,435,15/01/2014,6.1,2322,60000000,9.949,TRUE
G.I. Joe: Retaliation,878,4,27/03/2013,5.6,4719,130000000,55.535,TRUE
Arrival,18,7493,10/11/2016,7.6,14418,47000000,13.204,TRUE
Saving Private Ryan,18,4,24/07/1998,8.2,12373,70000000,24.633,TRUE
28 Days Later,27,284,31/10/2002,7.2,5051,5000000,21.342,TRUE
The Devil Wears Prada,35,711,30/06/2006,7.4,9664,35000000,14.354,TRUE
Terminator 2: Judgment Day,28,559,03/07/1991,8.1,9853,102000000,17.394,TRUE
Tracers,28,41649,15/01/2015,6.1,938,11000000,9.058,FALSE
War of the Arrows,18,7819,10/08/2011,7.1,178,8000000,3.24,TRUE
Independence Daysaster,28,62511,27/06/2013,4.5,61,1800000,1.669,FALSE
Dark Shadows,35,8601,09/05/2012,6,5942,150000000,18.006,TRUE
Self/less,878,11092,10/07/2015,6.4,2474,26000000,56.571,TRUE
Ghost in the Shell,28,528,18/11/1995,7.9,2381,3000000,4.558,FALSE
Killer Elite,28,10427,22/09/2011,6.3,1660,66000000,31.819,FALSE
Teeth,35,3568,17/06/2007,5.2,534,2000000,2.898,TRUE
Undisputed,28,14,17/07/2002,6.5,499,20000000,7.841,FALSE
"Paul, Apostle of Christ",18,81520,23/03/2018,7.4,234,5000000,6.31,TRUE
Ghost in the Shell,878,93466,29/03/2017,6,6776,110000000,34.211,TRUE
Insidious: Chapter 2,27,7263,12/09/2013,6.7,3234,5000000,10.505,TRUE
Piranha,27,1950,03/08/1978,5.9,433,660000,1.697,TRUE
Ender's Game,878,31825,24/10/2013,6.6,4734,110000000,15.636,TRUE
Gladiator,28,33,01/05/2000,8.2,14387,103000000,9.54,TRUE
The Protector,28,8211,11/08/2005,7.1,600,6000000,5.583,TRUE
In the Name of the King 2: Two Worlds,12,22793,03/11/2011,4,92,4500000,10.814,FALSE
The Bear,12,82,21/10/1988,7,329,25000000,4.463,TRUE
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,35,5441,12/01/1996,6.9,829,3800000,3.276,TRUE
Benedetta,18,8997,09/07/2021,6.6,157,24350000,7.764,FALSE
Jack and Jill,35,8000,11/11/2011,4.3,1669,79000000,9.491,TRUE
The Wild,10751,2,06/03/2006,5.5,797,80000000,4.614,FALSE
Locked Down,35,110799,25/02/2021,5.5,129,10000000,14.354,FALSE
Guardians,28,94075,14/02/2017,4.9,578,5400000,1.876,FALSE
The Ten Commandments,18,4,05/10/1956,7.7,1043,13000000,6.014,TRUE
Scarface,28,33,09/12/1983,8.2,8749,25000000,16.028,TRUE
Casper,14,11098,26/05/1995,6.3,3686,50000000,7.667,TRUE
The Mummy,12,33,16/04/1999,6.9,7056,80000000,7.902,TRUE
Extraction,18,106544,24/04/2020,7.4,4227,65000000,13.942,FALSE
Gods of Egypt,28,3528,25/02/2016,5.6,3312,140000000,6.071,TRUE
Carrie,18,11581,16/10/2013,6,3708,30000000,37.68,TRUE
Night at the Museum: Secret of the Tomb,12,20478,17/12/2014,6.2,4837,127000000,8.883,TRUE
Monster House,16,11395,30/06/2006,6.6,3031,75000000,1.041,TRUE
The Terminator,28,41,26/10/1984,7.6,9947,6400000,9.184,TRUE
Shooter,28,4,22/03/2007,7.1,3652,61000000,21.262,TRUE
Leprechaun,35,4063,08/01/1993,5.6,521,900000,3.382,TRUE
Happy Feet,16,2537,16/11/2006,6.1,4020,100000000,7.521,TRUE
The Godfather: Part II,18,4,20/12/1974,8.6,9097,13000000,16.028,TRUE
Hocus Pocus,35,2,16/07/1993,7,2026,28000000,1.83,TRUE
Rush Hour 2,28,12,03/08/2001,6.7,2992,90000000,17.745,TRUE
Ghost Rider,53,20241,15/01/2007,5.5,4627,110000000,12.579,TRUE
The Addams Family,10751,258,22/11/1991,7,3436,30000000,1.587,TRUE
The Final Destination,27,48792,26/08/2009,5.6,2424,40000000,12.732,TRUE
Life of Pi,12,711,20/11/2012,7.4,11178,120000000,1.67,TRUE
The Paperboy,53,695,14/09/2012,5.6,578,12500000,9.064,FALSE
Rogue One: A Star Wars Story,28,1,14/12/2016,7.5,12600,200000000,12.191,TRUE
The Ugly Truth,35,126,24/07/2009,6.5,2866,38000000,13.674,TRUE
Norbit,35,2184,08/02/2007,5.6,1737,10000000,8.248,TRUE
R.I.P.D.,14,33,18/07/2013,5.8,3011,130000000,10.208,FALSE
The Help,18,436,09/08/2011,8.2,5918,25000000,15.796,TRUE
Meet the Robinsons,16,2,23/03/2007,6.9,2163,150000000,1.587,TRUE
The Wolf of Snow Hollow,27,46453,23/10/2020,6.1,193,2000000,0.738,FALSE
Epic,16,9383,15/05/2013,6.5,2213,100000000,10.006,TRUE
Bird Box,53,13778,13/12/2018,6.9,7966,19800000,9.315,FALSE
Addams Family Values,35,258,19/11/1993,6.9,2164,47000000,4.81,TRUE
Astro Boy,16,491,15/10/2009,6.3,1168,10000000,12.579,TRUE
"Crazy, Stupid, Love.",35,174,29/07/2011,7.2,6574,50000000,10.33,TRUE
Outcast,28,8976,26/09/2014,5,356,25000000,10.921,FALSE
Scooby-Doo 2: Monsters Unleashed,9648,748,24/03/2004,6,2102,80000000,3.353,TRUE
Pride & Prejudice,18,10146,16/09/2005,8.1,6125,28000000,10.597,TRUE
Warcraft,28,923,25/05/2016,6.3,5532,160000000,7.537,TRUE
War Room,18,144570,28/08/2015,7.9,332,3000000,0.923,TRUE
Ri¢hie Ri¢h,35,1302,19/12/1994,5.8,1735,40000000,7.758,FALSE
Disobedience,18,21622,10/09/2017,7,869,6000000,22.152,FALSE
The Ridiculous 6,37,2608,11/12/2015,5.1,1066,60000000,9.491,FALSE
The Rugrats Movie,10751,59150,20/11/1998,6.2,442,30000000,4.404,TRUE
The Hunchback of Notre Dame,18,2,21/06/1996,7.1,3994,100000000,2.161,TRUE
Piranha 3D,35,308,20/08/2010,5.4,1672,24000000,19.95,TRUE
Bee Movie,10751,1903,28/10/2007,6,3846,150000000,3.639,TRUE
Alice Through the Looking Glass,12,37455,25/05/2016,6.5,5336,170000000,14.354,TRUE
Bāhubali: The Beginning,28,57946,10/07/2015,7.5,539,25130430,1.866,TRUE
The Human Centipede (First Sequence),27,5652,26/04/2009,5.2,1593,2011799,1.96,FALSE
Minions,10751,6704,17/06/2015,6.4,8976,74000000,9.315,TRUE
The Bourne Legacy,28,33,08/08/2012,6.2,4685,130000000,20.138,TRUE
Neighbors 2: Sorority Rising,35,10338,04/05/2016,5.8,3751,35000000,4.185,TRUE
Falcon Rising,12,39075,05/09/2014,6.2,255,4500000,18.113,FALSE
About Time,18,10163,04/09/2013,7.9,6546,12000000,10.47,TRUE
Star Trek Into Darkness,28,11461,05/05/2013,7.3,7755,190000000,9.949,TRUE
Countdown,27,73118,24/10/2019,6.4,1395,6500000,22.776,TRUE
Green Lantern: First Flight,28,429,28/07/2009,6.9,310,3500000,4.394,FALSE
Man on a Ledge,28,491,13/01/2012,6.4,2064,42000000,10.722,TRUE
Bachelorette,35,4740,23/01/2012,5.5,1029,3000000,12.374,TRUE
We Are the Nobles,35,58784,28/03/2013,7.8,366,2000000,1.38,FALSE
Tomb Raider,28,10038,05/03/2018,6.4,6412,94000000,12.035,TRUE
Leap Year,10749,58262,08/01/2010,6.9,1626,19000000,13.204,TRUE
Whiplash,18,2266,10/10/2014,8.4,11595,3300000,6.789,TRUE
Final Destination 2,27,12,31/01/2003,6.2,2997,26000000,7.087,TRUE
Eternal Sunshine of the Spotless Mind,878,10146,19/03/2004,8.1,11673,20000000,11.514,TRUE
Skin Trade,53,52254,07/11/2014,6,178,10000000,10.814,FALSE
Pitch Perfect 2,35,12365,07/05/2015,6.9,4665,29000000,6.96,TRUE
Paranormal Activity: The Marked Ones,27,3172,01/01/2014,5.4,1118,5000000,1.805,TRUE
God's Not Dead 2,18,79986,01/04/2016,6.1,310,5000000,7.719,TRUE
Insidious: The Last Key,27,11341,03/01/2018,6.2,2129,10000000,3.43,TRUE
Back to the Future,12,33,03/07/1985,8.3,15814,19000000,4.115,TRUE
Stuart Little 2,10751,5,19/07/2002,5.7,1903,120000000,4.115,TRUE
Scary Movie 4,35,7405,12/04/2006,5.5,2491,45000000,11.66,TRUE
Into the Storm,28,41624,06/08/2014,6,1652,50000000,5.087,TRUE
Pinocchio,14,53334,19/12/2019,6.6,1161,12400000,0.6,TRUE
Silk Road,80,22309,19/02/2021,6.8,113,5900000,5.421,FALSE
Forrest Gump,35,4,06/07/1994,8.5,21631,55000000,24.633,TRUE
2 Guns,28,33,02/08/2013,6.5,3288,61000000,14.704,TRUE
Pocahontas,12,6125,14/06/1995,7,4641,55000000,4.923,TRUE
Doctor Sleep,27,829,30/10/2019,7.2,3012,45000000,9.726,TRUE
Gemini Man,878,82819,02/10/2019,6.4,4029,138000000,18.744,TRUE
Geostorm,28,101832,13/10/2017,6.1,3734,120000000,13.78,TRUE
She's Out of My League,35,54634,11/03/2010,6.4,1587,20000000,4.437,TRUE
The Lego Batman Movie,16,2723,08/02/2017,7.2,3902,80000000,4.792,TRUE
The Call,80,15462,14/03/2013,6.8,2392,13000000,10.809,TRUE
Sleeping Beauty,14,2,17/02/1959,6.9,4155,6000000,0.766,TRUE
Allegiant,12,10227,09/03/2016,6.1,5572,110000000,6.44,TRUE
Final Destination 5,27,48792,12/08/2011,6,2547,47000000,2.625,TRUE
Nacho Libre,35,4,16/06/2006,6.2,1156,35000000,9.183,TRUE
Home on the Range,16,2,02/04/2004,6,1576,110000000,0.84,FALSE
Fireproof,18,9118,26/09/2008,7.4,463,500000,0.849,TRUE
High School,35,25755,03/06/2010,5.8,104,10000000,10.884,FALSE
Everest,18,10246,10/09/2015,6.8,3966,55000000,5.421,TRUE
Batman,14,9993,23/06/1989,7.2,5875,35000000,10,TRUE
Phantom,53,2231,03/01/2013,5.9,235,10000000,8.002,FALSE
Aliens vs Predator: Requiem,14,444,25/12/2007,5.1,2066,40000000,2.201,TRUE
Spies in Disguise,16,7076,04/12/2019,7.7,2103,100000000,18.744,TRUE
Baby on Board,35,3663,09/06/2009,4.9,75,8000000,19.153,FALSE
Jaws,27,1865,18/06/1975,7.6,7883,7000000,4.187,TRUE
Hunter Killer,28,333,19/10/2018,6.8,1589,40000000,13.78,FALSE
Knives Out,35,1632,27/11/2019,7.9,8092,40000000,24.637,TRUE
Midway,10752,110799,06/11/2019,7.1,1704,100000000,7.794,TRUE
Bāhubali 2: The Conclusion,28,57946,27/04/2017,7.3,497,31000000,1.866,TRUE
Rambo: First Blood Part II,28,559,21/05/1985,6.6,2816,44000000,18.24,TRUE
6 Bullets,53,23283,11/09/2012,6,241,10000000,13.147,FALSE
Pretty Woman,10749,9195,23/03/1990,7.4,6070,14000000,8.303,TRUE
The Smurfs,16,2251,29/07/2011,5.8,3017,110000000,6.645,TRUE
The Witch,27,79436,27/01/2015,6.8,5099,4000000,27.186,TRUE
Free Willy,10751,104,16/07/1993,6.2,1370,20000000,1.218,TRUE
The Evil Dead,27,467,10/09/1981,7.3,2721,350000,11.304,TRUE
Johnny English Reborn,80,33,15/09/2011,6.2,2570,45000000,6.134,TRUE
Dolittle,10751,33,01/01/2020,6.8,2746,175000000,16.608,TRUE
American Pie Presents: Band Camp,35,134,30/10/2005,5.5,1670,10000000,6.946,FALSE
The Angry Birds Movie,16,5,11/05/2016,6.2,2845,73000000,6.759,TRUE
Drag Me to Hell,27,33,15/03/2009,6.3,2758,30000000,2.029,TRUE
Blackhat,80,33,13/01/2015,5.4,1609,70000000,13.942,FALSE
Get Out,9648,88934,24/02/2017,7.6,13473,4500000,4.87,TRUE
Solo: A Star Wars Story,878,1,15/05/2018,6.6,6653,250000000,3.089,TRUE
Kama Sutra: A Tale of Love,18,6236,11/09/1996,5.7,112,3000000,6.1,TRUE
Cursed,27,20376,25/02/2005,5.5,496,35000000,7.667,FALSE
The Chronicles of Narnia: The Voyage of the Dawn Treader,12,711,02/12/2010,6.4,4521,155000000,7.061,TRUE
Pearl Harbor,28,130,21/05/2001,6.9,5030,140000000,9.363,TRUE
Cloudy with a Chance of Meatballs 2,16,34,26/09/2013,6.4,2418,78000000,9.118,TRUE
Hostel: Part II,27,35,08/06/2007,5.8,1490,10200000,6.399,TRUE
The Legend of Tarzan,14,79,29/06/2016,5.9,5349,180000000,8.354,TRUE
Home,14,521,18/03/2015,6.8,3249,135000000,7.25,TRUE
Finding Dory,12,3,16/06/2016,7.1,10218,200000000,8.199,TRUE
Due Date,35,923,04/11/2010,6.3,4380,65000000,16.608,TRUE
Miss March,35,3638,13/03/2009,5.5,258,6000000,0.656,FALSE
God's Not Dead,18,6427,21/03/2014,6,705,17000000,4.585,TRUE
ParaNorman,10751,10146,03/08/2012,6.9,1980,60000000,4.531,TRUE
Looper,28,559,26/09/2012,6.8,8567,30000000,9.437,TRUE
Dragon Blade,28,74459,19/02/2015,6.3,423,65000000,17.745,TRUE
The Pursuit of Happyness,18,1423,14/12/2006,7.9,7832,55000000,18.744,TRUE
Left Behind,53,16558,03/10/2014,4.2,1047,16000000,12.579,TRUE
Peter Rabbit,16,5,07/02/2018,6.7,1343,50000000,2.107,TRUE
First Blood,28,41,22/10/1982,7.4,4660,15000000,18.24,TRUE
Percy Jackson: Sea of Monsters,12,711,07/08/2013,6,4300,90000000,5.789,TRUE
Green Book,18,6735,16/11/2018,8.3,8434,23000000,9.165,TRUE
Paranormal Activity: Tokyo Night,27,18764,20/11/2010,6.1,317,1350000,2.582,TRUE
Iron Sky,28,7330,10/03/2012,5.7,1225,7500000,3.263,TRUE
The Blair Witch Project,27,15160,14/07/1999,6.3,3516,60000,0.782,TRUE
Bordello of Blood,27,33,16/08/1996,5.9,262,15000000,1.823,FALSE
Boss Level,28,99321,19/02/2021,6.9,779,45000000,12.644,FALSE
Jack the Giant Slayer,14,12,27/02/2013,5.8,4202,195000000,6.336,TRUE
Get the Gringo,28,152,15/03/2012,6.5,1227,35000000,11.599,FALSE
The Road to El Dorado,10751,521,31/03/2000,7.2,2998,95000000,5.628,FALSE
The Huntsman: Winter's War,28,16314,06/04/2016,6.3,4043,115000000,13.942,TRUE
Justice League: War,16,9993,02/02/2014,7.6,778,3500000,9.488,TRUE
Jeepers Creepers,27,60,01/07/2001,6.4,2141,10000000,2.369,TRUE
Rocky IV,18,8880,21/11/1985,7,3236,31000000,18.24,TRUE
Semen Demon,27,75584,29/07/2005,5.8,9,10000,1.4,TRUE
Straight Outta Compton,18,63924,11/08/2015,7.8,2987,28000000,0.996,TRUE
Predestination,878,10950,28/08/2014,7.4,5037,5500000,10.169,FALSE
Alien,27,19747,25/05/1979,8.1,11102,11000000,11.102,TRUE
The Spy Next Door,28,46062,15/01/2010,5.9,990,28000000,17.745,TRUE
Space Jam,16,174,15/11/1996,6.9,4797,80000000,0.919,TRUE
"As Above, So Below",27,66930,14/08/2014,6.7,2520,5000000,10.024,TRUE
Pan's Labyrinth,14,2029,25/08/2006,7.7,8558,19000000,9.246,TRUE
Schindler's List,18,33,30/11/1993,8.6,12066,22000000,13.321,TRUE
Blade,27,12,21/08/1998,6.7,4538,45000000,7.841,TRUE
The Texas Chain Saw Massacre,27,1197,01/10/1974,7.3,2139,85000,2.021,TRUE
The Raven,80,7295,09/03/2012,6.3,1013,26000000,7.774,TRUE
Akira,16,10920,16/07/1988,8,2894,10000000,0.75,FALSE
Léon: The Professional,80,9,14/09/1994,8.3,11492,16000000,5.828,TRUE
The Texas Chainsaw Massacre: The Beginning,27,56620,06/10/2006,6.1,1276,16000000,6.664,TRUE
The Salvation,18,8275,22/05/2014,6.4,630,10500000,12.952,FALSE
Mr. Popper's Penguins,35,1302,17/06/2011,5.9,2309,55000000,11.514,TRUE
Night of the Living Dead,27,13282,19/10/1990,6.8,630,4200000,1.555,TRUE
Ballerina,16,91331,14/12/2016,7.2,1544,30000000,14.568,FALSE
The Lovely Bones,14,11,19/02/2009,7,3623,65000000,4.414,TRUE
Father There Is Only One,35,91991,02/08/2019,7.1,239,3400000,1.376,TRUE
Horton Hears a Who!,16,9383,03/03/2008,6.5,2589,85000000,11.514,TRUE
Artemis Fowl,12,11391,12/06/2020,5.7,1276,125000000,0.98,FALSE
Perfume: The Story of a Murderer,80,1208,13/09/2006,7.3,3431,50000000,9.105,TRUE
Hereditary,27,24277,07/06/2018,7.2,5392,10000000,6.573,TRUE
Hannah Montana: The Movie,35,3812,10/04/2009,6.6,1671,35000000,3.538,TRUE
London Has Fallen,28,1020,02/03/2016,6.1,3787,60000000,13.78,TRUE
Saw IV,27,2061,25/10/2007,6.2,2787,10000000,10.352,TRUE
The Sword in the Stone,16,2,25/12/1963,7.3,3053,3000000,2.988,TRUE
Tower Heist,28,33,02/11/2011,6,2313,75000000,8.883,TRUE
Blood Diamond,18,449,26/01/2006,7.5,5925,100000000,17.509,TRUE
Armageddon,28,9195,01/07/1998,6.8,6253,140000000,19.242,TRUE
Death Note,14,6755,17/06/2006,7,478,20000000,2.282,TRUE
The Lorax,16,33,01/03/2012,6.5,2653,70000000,9.064,TRUE
The Santa Clause,14,2,11/11/1994,6.4,1475,22000000,8.851,TRUE
The 5th Wave,878,34034,14/01/2016,5.9,4929,38000000,37.68,TRUE
Independence Day,28,25,25/06/1996,6.8,7687,75000000,18.744,TRUE
Mission: Impossible,12,4,22/05/1996,6.9,6690,80000000,17.341,TRUE
Mainstream,35,7625,07/05/2021,5.2,29,5000000,52.569,FALSE
House of Wax,27,79,30/04/2005,5.9,2222,40000000,22.267,TRUE
The Imitation Game,36,38145,14/11/2014,8,14052,14000000,17.327,TRUE
Don't Kill It,14,36685,27/08/2016,6.2,152,3500000,10.814,FALSE
The Scorpion King 3: Battle for Redemption,28,17009,17/01/2012,4.5,247,5000000,4.85,FALSE
Ouija,27,88762,24/10/2014,5.1,2254,5000000,10.378,TRUE
Ticking Clock,28,6724,04/01/2011,5.5,46,6000000,3.642,FALSE
Facing the Giants,18,73120,29/09/2006,7.5,287,100000,0.6,TRUE
Licorice Pizza,18,178,26/11/2021,6,1,40000000,1.996,FALSE
Happy Feet Two,16,28381,18/11/2011,6.1,1176,130000000,7.521,TRUE
"Batman: The Dark Knight Returns, Part 1",878,429,21/08/2012,7.8,1142,3500000,6.585,FALSE
Cats & Dogs,10751,79,04/07/2001,5.4,1253,60000000,5.033,TRUE
Hachi: A Dog's Tale,18,7419,13/06/2009,8,5366,16000000,8.303,TRUE
